Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=Rtv1q00sWSjTyxU4ui4bI9B7,N/A,
,N/A,Romania,45.825,25.094,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=XE0xuvDpNGwGsRfpjxxspuaX,N/A,
,N/A,Bangladesh,23.674,90.432,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=E3tvePYqw7rjj2dc6tGsYJAi,N/A,
,N/A,"Czech, Czechs",49.8,15,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=ELv2VpYXbMfWwMcOmdSCLyiG,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=P6TazxWNmhc18XFs5J1tUM2n,N/A,
,N/A,Slavic,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=xKy6C0lyTmIC9OGJEF9saKY1,N/A,
,N/A,Pakistan,30.116,69.088,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=JDE9FlpGFCqObUDriRJlrBWj,N/A,
,N/A,"Germans: South (Upper German Dialects): Alsace (Elsass), Baden-Württemberg, Bawaria, Swabia, Switzerland, Bohemia, Sudeten, Austria",48.8,12,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=68PzDb9sH3NU4JeERUx3krZ5,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=MpEIkU27pNutIi1MxdTcflzu,N/A,
,N/A,USA,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=yLJQUOBDffiBL2liYS9jSNv2,N/A,
,N/A,Slavic,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=Id1DpONYYhabsVtRiNQj1LVy,N/A,
,N/A,South Africa,-28.554,24.753,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=E1HDxKlTogrZOUXdARLfW2er,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=TGmoKQKG8TDue5T1JOHhfogr,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=for3X50Zw8BfUR7qNZ8GFYGc,N/A,
,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=DYWQi6oRCIp1In4Kf01XtHfU,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=WD9Bsa0gBZ7StvALh5fusyQJ,N/A,
,N/A,Turkey,38.932,35.569,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=9pPl7qkH0BdyiWnWMhF5WNCh,N/A,
,N/A,"Danes, Danish",56,10,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=4KZXa6CoLKwLRW0lEFzC2tpz,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=zjrV7Mmg7WuAezqBYfzD9y3U,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=uhqmgCk8H4r9pmj7VJy5pFCs,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=QtdP7x0PpBRPQJLs8aQ3sre4,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=s9Nm86LQNTcMDe3fJJz3YyuV,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=KtarTdriXqJPLsYT63HfJxpS,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=GSJvOAJ02cVoFhQFG2ABSbaP,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=mLkW3E5NxCsOzAvjyeWASHCS,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=A5hqShnABldX8sehVQL0QC2i,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=Kmx4JSsWqOXSKwEfvhb3Koer,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=dZqne9rYrV3RIXBplLWEuK3n,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=m4AmxSj1Vwt9OWHNzCrJhEzm,N/A,
,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=2BlIFzyQCaNhvLa1xttE29sW,N/A,
,N/A,"Danes, Danish",56,10,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=E4YZ9WNWrhT1PchLIZIsCca5,N/A,
,N/A,Finns,61.41354,23.96777,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=1cpQfctJLfOwKg5JHfx5Djwm,N/A,
,N/A,Karl Bartsch,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=cvl0BoFOCOdO9NjKsMF2Ib14,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=m7hHfAkLFfEzpbidRLuNH2Sb,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=rWqI7Xgt19S3dK1mkjXhEWn0,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=19jTn0nFJb116BoqM1vf6YZm,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=6d7jqK9u2E87yc6zZ2XQrAxi,N/A,
,N/A,"Danes, Danish",56,10,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=diSQqefSGj5Kj2tT34y5rVpN,N/A,
,N/A,"Serbs, Monte Negro, Balkarians",44,20.5,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=D4x5UWYni3243wzgb3u2hJzc,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=jyVD41rF6GZXnFnpZuCPhLbO,N/A,
,N/A,Scandinavians: Early Written Sources (&quot;Edda&quot;; Saxo Grammaticus Etc.); Gothland Picture Stones; Ancient Germans (Late Bronze Age In Scandinavia),58.40427,11.37695,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=HGxXquHkPafrnI1gmkG7lvGl,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=BYUjN1vQz6omf2xNClPHdndA,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=1br5PCuR8XKDXOvcudYcIUx2,N/A,
,N/A,Joseph Jacobs,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=kaRuEfKgsYt9VkWGts9NyhGU,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=IPY3iDY2QkOQsaz6yftEMN4h,N/A,
,N/A,Native America,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=DRM5QTFsAkk0JrS8r4i1bfOL,N/A,
,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=Yk5sUd4X0MSlmKMVpPNvIkBh,N/A,
,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=Mfp0KM8YrxfObWAw4DAgin9O,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=fuijNcH0L9LAp2UkC49Fem9d,N/A,
,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=VRFgVdBp2FoXiHALuc4am3rl,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=OxLeEJiSeQKNRVClShCa5p5g,N/A,
,N/A,"Germany, J. W. Wolf",N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=vadb5XkS2NAHGUihK6sFdJJx,N/A,
,N/A,Korea,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=WfUvbTajhG1NBPv6V7PMju1B,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=b4t6mODa4RnWWrYLrQVMWueS,N/A,
,N/A,"Serbs, Monte Negro, Balkarians",44,20.5,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=MJzJRqmOs4X3Z2SEJN6nuvTN,N/A,
,N/A,"Danes, Danish",56,10,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=wq0UuFEREFvGdwMk12Qo6FhV,N/A,
,N/A,"Danes, Danish",56,10,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=oaocZeIkXsrbXxPxDCfeHfz6,N/A,
,N/A,Jacob And Wilhelm Grimm,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=bqAYc1VPNUzY7SVFIlHENQsL,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=RTWcxajeCp1CJhJY9QZpZ3xi,N/A,
,N/A,Scandinavians: Early Written Sources (&quot;Edda&quot;; Saxo Grammaticus Etc.); Gothland Picture Stones; Ancient Germans (Late Bronze Age In Scandinavia),58.40427,11.37695,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=IjwgzbiV47qI8pYM4CzsyI9O,N/A,
,N/A,"Danes, Danish",56,10,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=W3Rmw3K0uXElTaZKBye95aZO,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=1WMBIEYtSXVGmUipSHAvmoFC,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=zTg5Wmtr2kxDBqwyqNsEf4jM,N/A,
,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=2NrZjrWf0VQAPIgZ1URpvKyk,N/A,
,N/A,Philippines,15.587,121.822,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=vgmmHbo5X0DYTcNT9Zw0WsOd,N/A,
