Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Rtv1q00sWSjTyxU4ui4bI9B7,N/A,
,N/A,Romania,45.825,25.094,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=XE0xuvDpNGwGsRfpjxxspuaX,N/A,
,N/A,Europe,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=OBupGhGMtM3t7wol6hmahwHt,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=hRTNiKN7XeAa3EU0v5P9V7hn,N/A,
,N/A,Wales,52.70169,-3.87158,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=nRmxnQlEJ6XaN8RzrxEsGnFS,N/A,
,N/A,Turkey,38.932,35.569,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9pPl7qkH0BdyiWnWMhF5WNCh,N/A,
,N/A,George Sinclair,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=nzOwMo8u6NxnrzuaU5um7hW9,N/A,
,N/A,Greece,39.42,23.11,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Th1THcpGotjpBaMfuNrrUkUk,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=kXOUYAl0tgZm5Ke2HQWUa0Ws,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=mLkW3E5NxCsOzAvjyeWASHCS,N/A,
,N/A,Native America,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=NKoKLnVifgNyKdFUDvFZf3uR,N/A,
,N/A,Switzerland,46.737,8.287,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ntk0uJrRxTqFSajlFxIF0lPi,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2p0XtsaUwpd4mPXrPkB281Hm,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=xdEiICUxiUb8nef1aDjNF0Jk,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=IN0nuKLqnd4X3tTyN6UgZDjS,N/A,
,N/A,Serbia,44.027,20.857,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=D4x5UWYni3243wzgb3u2hJzc,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=yBmcDvc2HwS3xghHSF1Y1Ftg,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=XTlNAQbB46MYkUTpAxN8vsCv,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8IBBjIp6wCD6jvk4MgTNRGYu,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=WEcirSNklAL8IWNy0VXa3zSU,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Mfp0KM8YrxfObWAw4DAgin9O,N/A,
,N/A,Greece,39.42,23.11,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=qNVSVpiNavFnoDAcdLPgni10,N/A,
,N/A,Philippines,15.587,121.822,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Ta6XpUSnJAWne2qjiklXv9YY,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2UPl9I8KEJ20ZyjRXkye1A58,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=3S6vGE64BvKtnAbS54uKrqk3,N/A,
,N/A,Pakistan,30.116,69.088,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8SEh9PzpZuPvUFueb6jthMA9,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=QV5Liz7bf1Ri7FLGUsA84ZFX,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gwNrH5EXgABNYNjG2E9inNYu,N/A,
