Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=GSJvOAJ02cVoFhQFG2ABSbaP,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=sR52KPoCKDc1rVWWUTu7vU74,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4LFuUTDyup32l06fKXMCoxzS,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gyDhbIEw5Wr49CwmnDfFsYsc,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=UQZZkAVTvVMuGnHLOQDFGvYl,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9GeIahWMPKF5mBMxjZQNkEzn,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=AH4Hkh2IQmNXNtUJP7eSRAdn,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=cm9c19Imi4lpJxdL7crNUqih,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=wxQtX7EvAHZtTIZjWr9j5uGI,N/A,
4,N/A,Greece,39.42,23.11,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5iur48w7wczxkwvqodvxgqcv,N/A,
9,N/A,Greece,39.42,23.11,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=av83d5oog5ju22ijqfir0nsj,N/A,
17,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=llcxoacdhuj5xnvz8dshjx0i,N/A,https://www.crecganford.com
403,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=WA23M79NJXgNBG0eNaylIbEs,N/A,xmlfiles/lang/lang_crimson-20.xml
531,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=UOxR0MxGDiJ08af1FWFiZbHT,N/A,xmlfiles/eng/trans-1197.xml
1542,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5t7CHbYYv3fQ73EOHYd7AXgy,N/A,xmlfiles/eng/trans-3331.xml
