Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Rtv1q00sWSjTyxU4ui4bI9B7,N/A,
,N/A,Romania,45.825,25.094,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=XE0xuvDpNGwGsRfpjxxspuaX,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=45MyCdO6DCGaNzZipbkTu5BM,N/A,
,N/A,"USA, USA&lt;/h3&gt;",N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=kClw06pCrUaNRlqE00hqZcGe,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=kUQliyPqG9tO5oGrWRpZMpxg,N/A,
,N/A,"Germans: South (Upper German Dialects): Alsace (Elsass), Baden-Württemberg, Bawaria, Swabia, Switzerland, Bohemia, Sudeten, Austria",48.8,12,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=68PzDb9sH3NU4JeERUx3krZ5,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=MpEIkU27pNutIi1MxdTcflzu,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=B1FPM9YzPgFN5qrsNWcXTW6I,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=for3X50Zw8BfUR7qNZ8GFYGc,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=aPPwiMw8DzHQVu2pcReos2La,N/A,
,N/A,"Swahili, Midjikenda (incl Giryama), Nyika, Duruma; Ngindo, Kiluguru And Other Islamic Groups Of The Eastern Coast Of Africa",-5,40,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=K9PxkIbZfttnfMSqkck9wm70,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=kdkAf697UliZfBp8MGyqIzWZ,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=uDorhKVC7cauBHCv9PJchft4,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=QtdP7x0PpBRPQJLs8aQ3sre4,N/A,
,N/A,Scandinavia,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=maqLa4KpJVwPWbMTulPLwNHS,N/A,
,N/A,"Toto, Rabha (northern Western Bengalia)",26.5,89.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=TtXeLB5pSwr9FM5LGECEOQj3,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Rh7OPoL8gtHUknw7hRDSBDrb,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=mLkW3E5NxCsOzAvjyeWASHCS,N/A,
,N/A,Wales,52.70169,-3.87158,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=OSlnxt2IxWWgLlyFk2jo4BIE,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7wTHgoXutsS85x4EVNZaleTO,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=3GbZRaJ1sOnD3yMm67LjPyhS,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=m4AmxSj1Vwt9OWHNzCrJhEzm,N/A,
,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2BlIFzyQCaNhvLa1xttE29sW,N/A,
,N/A,Finland,65.016,25.657,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=1cpQfctJLfOwKg5JHfx5Djwm,N/A,
,N/A,Karl Bartsch,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=cvl0BoFOCOdO9NjKsMF2Ib14,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=kR7eNLADTO0dIp7ko1YGGX6D,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rWqI7Xgt19S3dK1mkjXhEWn0,N/A,
,N/A,Denmark,56.001,9.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=diSQqefSGj5Kj2tT34y5rVpN,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Bm4Kw0wiMlA9Kglm3rkPhJKm,N/A,
