Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
,N/A,Romania,45.825,25.094,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=XE0xuvDpNGwGsRfpjxxspuaX,N/A,
,N/A,Europe,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=OBupGhGMtM3t7wol6hmahwHt,N/A,
,N/A,Bangladesh,23.674,90.432,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=E3tvePYqw7rjj2dc6tGsYJAi,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=P6TazxWNmhc18XFs5J1tUM2n,N/A,
,N/A,Slavic,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=xKy6C0lyTmIC9OGJEF9saKY1,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=tEXegGtldK7AQUFqVSQdi6FU,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=NwqgH3ZHcuD2NL5QADNnX1TC,N/A,
,N/A,"Germans: South (Upper German Dialects): Alsace (Elsass), Baden-Württemberg, Bawaria, Swabia, Switzerland, Bohemia, Sudeten, Austria",48.8,12,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=68PzDb9sH3NU4JeERUx3krZ5,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=MpEIkU27pNutIi1MxdTcflzu,N/A,
,N/A,USA,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=yLJQUOBDffiBL2liYS9jSNv2,N/A,
,N/A,Slavic,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Id1DpONYYhabsVtRiNQj1LVy,N/A,
,N/A,South Africa,-28.554,24.753,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=E1HDxKlTogrZOUXdARLfW2er,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=TGmoKQKG8TDue5T1JOHhfogr,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=for3X50Zw8BfUR7qNZ8GFYGc,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=DYWQi6oRCIp1In4Kf01XtHfU,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=kdkAf697UliZfBp8MGyqIzWZ,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=WD9Bsa0gBZ7StvALh5fusyQJ,N/A,
,N/A,Turkey,38.932,35.569,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9pPl7qkH0BdyiWnWMhF5WNCh,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=GxqzWaSJfWM6lGvs1nx8dFW0,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=uhqmgCk8H4r9pmj7VJy5pFCs,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=xebkPXe8GeVlI1tdg0TDEwX2,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=TtXeLB5pSwr9FM5LGECEOQj3,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=iuavsZUoDAiYCPgOuiey0ndc,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=glG8jkNU2LN3sUF7eeBqxCZg,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=KtarTdriXqJPLsYT63HfJxpS,N/A,
,N/A,Halkomelem (Snaymuk),49.2,-118.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=AmAzwIsEFEOXSKgsShKkGXIm,N/A,
,N/A,Japan,36.767,137.469,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=KZmnrj4Ar3Yv6MTgoiCkufi5,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Rh7OPoL8gtHUknw7hRDSBDrb,N/A,
,N/A,"Sicily, Sicilians",37.5,14,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=DKfnZMgLTdGLGY6Rq7uzC20a,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=mLkW3E5NxCsOzAvjyeWASHCS,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Kmx4JSsWqOXSKwEfvhb3Koer,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=dZqne9rYrV3RIXBplLWEuK3n,N/A,
,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2BlIFzyQCaNhvLa1xttE29sW,N/A,
